temperature,humidity,ph,rainfall,N,P,K
25.38,57.21,5.98,101.7,89,60,17
22.22,72.85,6.8,106.62,69,51,23
20.58,69.0,6.5,66.29,96,46,22
24.88,68.74,6.27,91.26,61,60,15
20.04,56.36,6.73,109.02,74,58,18
25.95,61.89,6.33,99.58,74,43,23
19.29,65.47,6.81,71.32,63,43,17
20.58,65.35,6.67,78.35,99,36,20
24.71,56.73,6.65,88.45,77,36,23
20.27,63.91,6.44,62.5,87,60,23
18.42,64.24,6.47,76.41,60,38,17
23.39,61.74,5.87,107.32,94,54,17
19.85,61.25,5.73,100.77,95,38,22
21.87,61.91,5.85,107.27,84,44,21
22.81,56.51,5.79,101.6,77,58,19
19.08,69.02,6.74,80.73,66,44,20
22.03,65.36,6.27,83.73,63,35,16
23.81,59.25,5.72,89.96,79,45,20
18.53,69.03,5.77,88.1,72,60,25
23.5,61.32,5.58,64.78,67,51,24
26.55,72.89,5.79,73.34,86,36,24
19.3,69.63,5.78,83.21,76,48,18
20.69,59.44,6.86,103.65,75,53,18
19.33,68.03,6.19,84.23,81,45,23
24.61,73.59,6.64,96.59,73,45,21
22.27,59.52,5.83,67.97,71,35,24
25.7,61.33,6.96,83.21,96,54,22
19.2,68.31,6.11,87.85,99,39,18
21.7,60.47,6.71,95.71,62,48,20
20.52,59.21,5.56,67.61,86,37,16
23.3,73.63,5.87,97.59,94,50,19
24.25,55.65,7.0,64.24,76,39,24
24.86,65.74,5.71,75.82,77,52,17
22.63,65.77,6.78,88.17,74,39,23
18.04,60.61,5.51,104.23,81,49,20
23.26,72.33,5.8,67.1,63,42,21
22.88,71.6,6.35,67.73,99,38,21
25.97,69.36,6.82,103.22,90,52,25
26.14,66.21,6.66,107.24,68,40,19
18.66,61.55,6.12,75.03,60,57,24
25.11,55.98,5.79,78.16,71,52,18
23.34,59.25,6.47,105.01,61,59,17
25.08,65.92,6.46,62.49,88,38,15
25.37,72.52,6.61,107.91,65,60,22
25.34,63.32,6.33,74.52,78,37,22
25.01,67.82,6.53,62.91,78,58,15
18.67,71.52,5.72,69.93,92,60,23
20.38,63.74,6.64,108.51,79,59,17
18.09,72.61,6.38,78.96,91,55,15
26.17,71.96,6.25,79.85,76,51,18
18.65,61.38,6.66,93.62,87,48,25
26.07,59.37,6.2,85.76,71,60,22
18.93,72.8,6.16,82.34,90,57,24
23.31,63.25,6.39,108.76,67,35,22
18.75,62.5,6.42,70.23,60,54,19
19.74,59.66,6.38,65.51,83,58,23
25.73,70.75,6.88,98.74,83,57,19
17.02,16.99,7.49,88.55,40,72,77
19.02,17.13,6.92,79.93,23,72,84
17.89,15.41,6.0,68.55,39,58,85
18.87,15.66,6.39,88.51,22,72,85
18.37,19.56,7.15,79.26,36,67,77
20.45,15.4,5.99,92.68,32,73,81
20.65,16.61,6.23,74.66,58,70,84
17.33,18.75,7.55,82.62,59,70,84
18.18,18.9,7.01,81.85,42,62,75
18.01,18.31,8.75,81.99,28,74,81
20.99,19.33,8.72,93.55,58,66,79
19.46,15.23,7.98,74.59,43,66,79
19.81,14.7,6.52,78.97,58,63,81
18.97,19.52,8.49,80.71,23,62,85
18.2,14.71,6.58,70.18,27,62,77
18.73,19.18,6.48,71.58,28,72,84
21.0,19.86,7.97,73.51,50,56,76
20.28,16.4,8.14,82.52,39,71,84
17.48,15.76,7.23,66.97,25,78,76
20.89,14.32,6.49,90.46,31,70,77
17.08,16.15,7.53,71.31,26,80,83
20.09,15.11,7.7,85.75,25,68,77
17.57,15.0,8.52,89.31,31,78,76
19.12,18.43,6.62,85.53,60,68,83
18.58,19.22,8.1,72.95,59,62,83
17.17,14.42,6.2,72.33,22,67,78
18.29,16.68,6.05,74.87,36,65,80
19.03,18.67,7.69,94.71,59,60,84
17.14,17.07,7.83,83.75,54,77,85
17.48,17.93,6.76,78.92,43,68,81
20.57,14.26,6.65,83.76,28,76,82
17.22,15.82,6.13,76.58,42,79,85
19.69,19.44,8.83,91.76,32,60,83
17.85,19.09,8.62,76.32,22,78,76
18.82,16.11,8.2,89.73,31,79,75
17.48,16.54,6.18,93.35,28,58,81
18.73,17.58,7.98,81.2,57,58,77
18.66,16.18,7.86,81.71,49,55,78
18.24,19.69,6.97,83.75,46,76,77
18.81,15.22,6.21,77.54,54,61,77
18.65,17.81,8.87,77.93,38,60,76
20.37,16.9,8.77,82.25,59,55,79
18.38,16.64,8.74,70.52,36,76,75
17.17,17.3,8.08,72.79,57,68,81
19.37,15.77,6.14,85.25,35,66,81
17.93,14.27,7.5,85.37,35,64,78
19.45,18.23,8.38,75.63,52,60,79
19.13,14.92,6.29,89.62,27,76,83
19.1,17.26,6.59,75.49,57,60,84
17.49,16.96,6.9,86.05,52,68,78
19.41,18.98,7.81,80.25,43,79,79
20.19,19.64,7.15,78.26,44,74,85
17.3,15.15,6.65,75.58,24,55,78
17.5,15.48,7.78,72.94,29,77,75
18.17,14.7,6.36,90.78,20,60,78
17.57,16.72,8.26,77.82,56,67,78
20.93,18.91,6.46,78.07,37,66,85
19.71,17.64,6.61,85.58,49,71,76
19.08,17.87,8.17,69.41,59,69,80
18.55,16.03,7.65,76.33,20,79,77
18.2,17.41,6.55,80.64,24,56,85
18.89,14.99,7.1,80.11,51,72,75
18.49,14.72,7.36,91.95,57,73,85
19.49,17.17,6.47,87.51,22,64,82
17.26,18.75,7.84,94.0,52,73,79
19.62,18.71,7.06,88.46,29,75,75
20.68,19.85,7.6,84.78,44,59,78
20.02,16.63,6.72,68.98,41,69,82
20.12,14.44,6.82,88.68,52,56,85
20.66,15.85,7.99,65.24,34,76,80
19.26,14.28,7.55,65.78,42,74,83
17.93,15.86,7.73,74.64,34,71,79
19.16,15.84,7.35,82.7,27,73,79
20.27,19.97,7.31,69.64,30,70,79
17.09,18.25,7.79,87.27,57,57,75
17.07,17.54,6.31,70.87,27,79,82
20.63,14.44,6.4,92.07,32,71,85
20.82,17.85,7.6,79.21,31,76,82
19.46,18.73,7.22,68.81,33,75,84
17.18,16.43,7.56,72.85,47,80,77
17.49,16.39,7.49,79.46,54,62,80
17.48,14.76,6.61,65.11,47,79,78
19.48,17.45,7.48,80.5,35,57,83
19.71,18.1,7.33,73.64,53,73,77
19.49,16.06,6.49,81.53,45,61,78
19.95,14.83,7.79,88.68,37,78,79
19.42,16.8,6.41,68.5,30,75,81
19.46,18.02,8.42,78.45,37,55,82
20.19,16.42,8.72,77.34,53,65,76
18.84,14.74,7.81,94.78,22,60,85
20.71,19.84,6.32,94.04,60,61,78
18.99,15.94,7.11,78.7,42,67,77
19.97,15.57,8.14,69.16,39,76,76
17.82,17.61,7.71,90.82,35,63,76
20.71,15.28,7.1,76.78,30,65,82
17.34,18.76,8.86,67.95,57,56,78
17.44,14.34,7.86,73.09,48,65,78
18.9,19.76,7.45,69.1,36,56,83
18.59,14.78,7.17,89.61,40,58,75
18.32,15.36,7.26,81.79,49,69,82
17.14,20.6,5.69,128.26,13,60,25
19.63,18.91,5.76,106.36,25,70,16
22.91,21.34,5.87,109.23,31,55,22
16.43,24.24,5.93,140.37,40,64,16
22.14,23.02,5.96,76.64,2,61,20
17.85,18.78,5.95,143.1,26,65,22
19.88,20.32,5.79,60.92,17,57,21
19.33,23.33,5.58,104.78,26,80,18
18.42,23.43,5.69,132.98,17,59,17
21.81,23.21,5.79,130.06,27,59,22
19.73,18.28,5.75,143.76,28,58,24
17.15,19.87,5.57,88.0,25,57,19
19.62,18.67,5.81,144.16,28,80,17
21.63,21.18,5.89,134.36,25,60,22
16.07,18.72,6.0,88.07,12,78,23
20.61,24.36,5.79,69.64,6,77,25
21.42,20.4,5.91,116.52,22,79,17
19.07,21.21,5.79,86.22,27,80,15
21.19,19.63,5.73,137.19,10,55,23
23.04,22.43,5.83,108.37,23,65,20
20.65,23.11,5.97,67.72,19,78,16
18.1,18.29,5.63,144.79,19,65,25
18.24,21.08,5.52,69.45,22,70,19
17.48,18.83,5.95,121.94,37,64,22
19.92,21.47,5.75,82.69,11,71,17
20.28,23.24,5.88,139.75,18,79,20
15.77,19.23,5.98,108.34,21,63,17
16.71,19.18,5.64,96.77,24,80,22
17.66,18.15,5.64,100.67,34,60,22
18.51,23.62,5.68,87.05,16,75,21
24.51,20.82,5.67,64.19,17,77,23
18.88,24.54,5.72,105.41,37,72,18
21.59,20.32,5.81,61.14,40,73,20
20.12,24.45,5.78,106.16,9,77,17
15.44,18.37,5.61,139.03,1,62,23
22.64,21.59,5.95,122.39,33,59,22
21.99,24.87,5.85,129.57,23,59,19
20.53,18.09,5.82,120.45,6,62,22
15.79,21.15,5.5,95.17,25,63,20
19.64,19.69,5.82,96.66,7,79,23
20.57,19.75,5.71,87.88,8,72,17
20.16,24.84,5.51,138.24,27,64,15
21.54,24.25,6.0,120.69,28,66,23
15.54,23.76,5.7,107.39,32,57,18
19.92,20.7,5.83,108.64,27,56,22
20.77,18.93,5.57,109.02,17,77,24
23.46,23.22,5.65,95.84,0,65,15
24.32,21.03,5.82,60.28,13,72,21
20.13,24.97,5.66,100.05,34,60,23
21.81,18.57,5.95,125.1,9,80,19
19.52,24.93,5.95,113.33,11,72,20
17.0,19.91,5.52,103.29,3,67,24
16.79,24.97,5.58,75.45,35,69,23
24.85,22.89,5.61,62.21,3,77,25
16.52,20.46,5.61,98.78,23,62,19
18.15,19.39,5.51,107.69,22,71,17
23.19,22.31,5.9,63.38,31,79,25
23.38,21.99,5.74,87.67,34,59,18
18.36,19.38,5.72,138.41,12,63,17
19.26,20.51,5.54,94.95,27,56,20
22.95,24.04,5.86,107.73,7,63,24
20.12,22.9,5.62,104.63,24,67,22
21.14,22.72,5.61,141.61,11,71,24
24.92,18.23,5.58,62.71,37,74,15
15.33,24.92,5.57,135.33,25,76,24
18.81,21.28,5.89,125.08,34,66,17
23.44,22.77,5.93,107.41,20,69,15
22.84,18.97,5.68,63.59,37,65,16
24.9,22.28,5.71,146.47,18,74,15
23.79,24.36,5.95,119.64,4,67,25
22.06,19.6,5.77,126.73,37,56,25
18.87,20.18,5.97,134.18,5,59,15
18.62,23.02,5.53,135.34,11,61,21
23.01,18.87,5.67,100.12,22,80,20
19.33,24.14,5.66,68.51,12,61,19
16.24,21.36,5.59,66.97,5,74,21
17.92,24.91,5.93,69.15,27,69,22
15.47,21.44,5.82,88.89,31,75,18
17.06,23.77,5.86,81.83,36,68,20
21.33,18.49,5.87,109.1,5,65,16
23.91,20.75,5.71,81.6,32,79,15
23.9,22.74,5.94,112.66,11,78,22
22.99,20.58,5.92,143.86,0,55,22
21.35,22.91,5.78,146.45,14,59,15
24.16,19.28,5.83,116.73,29,68,23
24.63,18.18,5.51,149.74,32,68,19
21.02,24.94,5.66,124.61,17,64,17
17.31,20.02,5.86,115.2,13,69,19
23.83,24.75,5.62,84.64,14,67,22
19.31,23.96,5.59,129.34,9,69,20
16.04,22.33,5.98,130.39,20,73,22
19.19,20.83,5.67,80.15,40,78,20
19.93,21.8,5.96,64.03,27,72,23
19.56,24.67,5.69,139.29,14,67,15
18.31,24.33,5.7,76.14,7,56,18
20.11,23.22,5.6,73.36,27,65,18
23.61,21.91,5.53,100.6,30,63,16
19.73,24.89,5.82,84.06,37,70,25
20.93,21.19,5.56,133.19,27,63,19
18.78,20.25,5.63,104.26,22,60,24
36.51,57.93,6.03,122.65,3,72,24
36.89,62.73,5.27,163.73,40,59,23
29.24,59.39,5.99,103.33,33,73,23
27.34,43.36,6.09,142.33,27,57,24
21.06,55.47,5.62,184.62,10,79,18
30.33,42.35,6.45,149.3,30,75,25
31.8,45.03,5.62,147.04,40,70,20
33.18,38.23,5.86,198.83,38,55,19
29.39,63.48,5.76,90.05,35,58,20
30.27,67.39,4.7,127.78,38,61,21
35.46,68.76,5.27,108.63,33,58,24
33.8,40.03,7.45,176.62,16,56,17
28.69,49.47,5.83,96.36,31,72,17
31.24,56.67,7.34,122.01,16,80,20
28.98,57.23,6.35,120.74,27,72,17
27.32,34.14,4.7,96.52,40,62,19
21.48,38.8,4.96,180.38,18,58,16
18.32,34.7,4.96,107.47,3,68,16
36.98,37.74,5.64,161.48,26,67,24
24.8,40.12,5.61,121.56,16,70,20
19.35,55.97,4.68,194.59,24,63,19
28.88,50.12,5.71,179.22,9,76,25
19.54,47.19,6.41,192.44,16,55,19
24.77,50.55,6.01,114.28,28,75,21
18.33,38.41,4.95,139.65,16,71,24
19.15,45.37,5.52,132.77,24,70,21
28.23,49.44,5.9,186.5,38,72,21
30.12,34.13,5.72,157.09,9,66,21
33.41,35.43,4.55,139.67,34,56,17
24.19,46.69,6.67,177.34,1,76,19
26.89,41.7,4.75,94.47,6,69,19
31.33,57.97,4.95,161.78,26,73,21
33.31,67.08,5.27,108.51,27,61,18
23.45,46.49,7.11,150.87,27,71,23
34.54,39.04,5.62,168.59,36,61,21
19.5,34.51,5.63,197.38,17,73,18
28.77,37.58,4.67,91.72,26,72,22
30.98,32.25,7.16,180.72,17,64,16
18.4,36.83,6.62,93.12,14,74,19
35.09,30.99,5.0,116.91,39,60,15
34.93,30.4,6.35,159.26,6,66,15
29.51,35.72,6.22,187.9,8,59,18
34.52,47.53,5.92,129.01,2,67,18
28.43,52.1,6.01,147.04,1,76,17
18.42,34.81,4.68,163.27,16,73,19
31.08,47.2,7.08,91.31,23,75,25
20.89,46.25,6.21,195.57,32,70,20
30.91,52.8,7.05,170.99,28,59,22
27.93,66.45,4.72,145.37,5,62,23
35.95,36.53,6.42,136.05,36,67,25
19.54,56.93,4.8,173.17,1,66,23
19.64,32.32,4.61,176.41,24,73,20
31.22,56.47,5.61,129.2,17,67,18
33.51,45.71,7.32,126.67,5,55,18
24.81,45.01,5.02,188.49,5,56,24
36.21,31.95,5.62,191.07,37,77,17
30.5,35.49,5.39,162.59,13,73,20
26.02,49.95,5.91,160.33,6,63,23
31.48,35.64,6.57,100.55,16,77,22
33.15,32.46,4.81,105.04,25,64,20
23.5,51.29,4.76,192.3,34,75,24
34.87,38.84,5.18,148.25,20,77,23
28.09,44.93,4.9,197.11,35,80,25
24.55,57.34,6.44,118.36,14,75,24
33.65,48.41,7.07,100.47,36,80,21
20.56,60.55,6.66,191.09,7,77,18
19.96,59.33,5.98,195.79,29,78,25
28.88,62.49,5.46,182.27,30,60,21
36.04,43.61,4.76,159.89,20,74,16
23.67,47.29,7.34,141.13,19,57,23
25.75,40.72,4.82,100.78,3,60,19
31.09,66.69,6.24,175.93,5,77,19
18.73,61.33,5.0,139.87,5,68,20
29.5,63.47,5.56,189.52,37,73,21
20.44,39.37,4.75,137.23,9,59,24
36.0,56.01,7.31,134.86,20,72,15
31.47,35.39,5.66,174.57,31,56,23
36.3,56.03,4.67,101.61,0,70,21
29.49,67.11,6.47,153.25,21,74,15
30.58,34.76,5.38,177.58,13,67,18
24.69,59.97,5.86,91.96,27,74,20
23.17,36.68,6.96,162.59,29,72,24
19.04,33.11,6.12,155.37,5,68,20
29.32,45.93,6.42,165.41,39,57,19
34.65,54.32,4.83,180.9,22,62,16
22.0,56.31,6.99,136.83,18,55,23
23.0,60.24,4.6,159.69,39,77,21
30.56,35.29,6.98,178.9,13,75,20
31.46,48.18,7.06,165.41,27,71,24
25.95,40.58,5.17,109.18,26,64,22
21.01,69.69,5.11,185.2,23,55,16
19.25,47.7,5.37,149.06,4,69,19
19.24,50.54,5.67,180.65,20,67,19
22.47,62.57,5.67,96.75,7,74,17
36.75,58.26,6.08,124.6,17,64,18
29.89,66.35,6.93,198.14,35,71,17
29.38,44.82,6.84,172.4,11,72,22
29.65,42.9,6.88,186.92,20,60,22
19.54,66.35,6.15,173.11,10,71,18
20.05,48.94,4.57,122.46,33,61,24
27.91,64.71,3.69,32.68,3,49,18
27.32,51.28,4.37,36.5,22,59,23
28.66,59.32,8.4,36.93,36,58,25
29.03,61.09,8.84,72.98,4,43,18
27.78,54.65,8.15,32.05,29,54,16
32.0,54.11,5.27,71.63,32,43,22
27.34,55.28,8.05,73.45,14,55,15
28.93,53.57,9.68,66.36,5,35,20
27.65,58.6,6.97,36.94,25,57,24
28.52,55.77,7.39,61.33,11,53,24
31.02,45.89,6.69,53.57,40,49,17
25.74,45.38,7.88,67.43,38,56,25
31.7,56.85,5.88,44.94,27,43,23
24.48,58.52,8.2,34.97,24,38,22
31.47,51.8,8.99,74.44,23,45,21
25.61,50.73,5.88,53.39,29,57,20
30.3,47.18,7.71,68.04,31,35,23
28.17,43.67,4.52,45.78,0,55,25
25.51,44.83,9.93,74.33,7,45,22
31.13,43.59,6.46,32.77,17,58,25
26.34,55.59,8.02,35.11,11,44,17
28.23,61.56,3.71,72.67,22,49,22
27.04,49.33,5.49,48.25,9,51,19
25.16,55.25,9.25,40.9,28,48,15
27.32,51.67,6.01,32.56,26,50,19
25.41,49.66,7.44,31.87,36,56,20
31.22,46.02,3.81,53.12,8,60,18
30.57,58.23,5.82,62.75,24,37,21
25.43,53.22,4.52,46.19,22,43,24
27.09,43.65,3.51,41.54,36,43,24
24.31,56.33,6.03,59.0,22,44,24
30.06,45.9,5.5,41.06,17,43,22
28.1,60.98,4.61,33.84,8,45,15
26.34,40.01,5.55,55.5,7,56,23
28.61,57.14,8.29,57.03,36,57,16
28.7,44.36,3.83,44.12,11,45,19
24.22,59.79,8.87,42.25,6,36,22
28.51,45.2,3.79,66.18,17,57,20
25.98,64.96,4.19,72.19,4,47,20
30.88,41.37,7.66,55.05,9,49,16
25.5,61.67,9.39,65.08,25,51,24
25.13,51.33,4.52,38.49,36,44,21
27.11,63.57,5.79,62.2,21,38,20
31.1,44.82,7.35,70.8,37,57,20
26.46,56.4,5.99,64.16,32,48,18
30.04,63.56,8.62,31.83,29,44,20
27.78,54.82,9.46,50.28,25,51,18
30.99,43.02,8.03,58.28,10,44,24
26.49,47.37,5.41,36.99,23,35,18
31.97,57.17,6.28,64.26,9,60,23
25.36,46.83,9.16,55.61,3,58,21
25.54,56.97,7.89,48.47,22,42,22
28.99,62.86,8.18,70.47,12,39,21
29.34,60.5,9.07,34.03,39,36,22
28.64,61.39,7.7,68.55,32,41,16
24.83,44.17,5.89,52.08,30,41,15
25.45,58.55,6.16,57.05,19,36,22
31.01,62.4,3.5,63.77,4,46,15
27.06,52.3,7.39,60.75,21,39,20
27.1,42.26,8.34,71.13,35,57,25
28.57,57.31,8.66,64.53,22,55,24
28.8,49.84,3.56,40.86,35,51,17
27.94,45.41,5.96,69.66,17,56,17
30.48,61.58,9.42,61.87,28,57,17
30.58,50.77,8.18,64.59,22,36,16
26.86,41.81,5.13,44.14,11,41,19
26.31,61.19,6.29,35.73,38,38,18
28.78,44.23,7.99,33.96,23,37,24
28.9,43.35,8.92,71.9,25,35,20
29.38,57.7,6.88,38.34,40,45,20
24.17,58.25,5.24,59.19,23,58,19
26.65,59.79,7.55,36.92,2,56,23
28.2,53.51,8.71,52.14,3,56,17
28.76,52.63,7.79,55.22,26,51,25
29.35,61.25,8.06,40.83,39,42,20
28.01,52.61,4.4,36.01,27,59,20
26.86,48.82,5.95,34.74,24,45,19
31.21,40.93,8.53,53.79,7,40,17
24.2,61.43,7.22,46.02,15,45,23
29.99,49.6,4.93,52.93,26,52,23
29.94,54.62,4.63,45.44,20,45,16
31.21,41.56,5.03,68.8,34,54,24
26.8,48.24,3.53,43.88,19,51,25
31.49,62.85,8.87,64.57,29,41,21
31.0,46.43,9.41,38.32,20,50,22
29.61,63.05,5.8,50.2,11,40,23
29.98,57.03,8.35,44.86,15,54,15
30.89,52.63,8.63,55.52,35,55,22
30.39,60.16,7.7,35.37,9,59,25
30.44,55.21,5.26,30.92,40,45,18
25.33,63.18,9.11,32.71,35,38,19
30.54,59.97,4.61,33.49,14,58,17
30.38,40.59,7.12,47.95,40,55,18
24.02,53.77,7.21,35.03,18,36,23
28.7,61.15,9.94,65.68,35,52,15
29.34,49.0,8.91,42.44,4,59,22
27.97,61.35,8.64,70.1,22,51,16
24.87,48.28,8.62,63.92,33,47,17
25.88,45.96,5.84,38.53,2,51,17
31.02,49.98,3.53,32.81,16,51,21
27.43,87.81,7.19,54.73,19,55,20
28.33,80.77,7.03,38.8,8,54,20
27.01,84.34,6.64,55.3,36,55,20
28.17,81.05,6.83,36.36,10,56,16
29.88,87.33,6.89,44.75,22,56,17
29.89,89.72,7.17,42.99,9,57,24
28.56,83.25,6.94,56.48,34,59,23
27.54,85.57,7.2,53.02,31,51,25
29.68,87.94,6.99,41.82,0,49,18
28.14,82.12,7.06,46.76,21,39,20
29.53,86.73,7.16,59.87,28,35,22
27.88,86.45,6.36,44.64,17,52,17
28.22,82.36,6.43,44.01,24,42,23
29.01,84.96,6.66,45.91,28,46,16
29.76,86.45,6.64,37.55,21,38,21
29.78,85.17,6.79,40.78,34,60,25
27.86,80.45,6.85,42.83,19,53,22
27.11,84.97,7.12,51.53,31,58,15
27.11,83.64,6.88,49.12,19,35,24
28.95,89.08,6.42,57.66,24,53,17
29.22,87.94,6.54,43.14,13,47,20
28.74,85.82,6.45,48.55,31,53,16
29.65,80.3,6.49,56.76,28,45,23
27.24,86.4,6.71,37.31,31,37,21
28.95,81.67,6.51,56.51,33,60,15
28.19,82.61,6.29,37.01,34,45,21
28.3,86.21,6.86,50.47,13,57,25
27.9,88.72,6.78,57.8,33,57,17
28.69,87.5,6.77,44.57,32,57,22
27.83,88.73,6.32,56.69,23,59,25
28.71,81.59,6.71,59.87,35,41,18
28.64,84.61,6.79,48.48,6,48,24
28.29,88.44,7.13,48.57,29,36,25
27.61,86.13,7.01,43.8,4,36,22
